feature	val_acc	test_acc	rank
wavelet-HHL_glcm_DifferenceVariance	0.23902439024390243	0.2	706
wavelet-HHL_glcm_Id	0.30121951219512194	0.25	657
wavelet-HHL_glcm_Idm	0.30609756097560975	0.25	609
wavelet-HHL_glcm_Idmn	0.21951219512195122	0.2	669
wavelet-HHL_glcm_Idn	0.24024390243902438	0.2	629
wavelet-HHL_glcm_Imc1	0.25365853658536586	0.35	477
wavelet-HHL_glcm_Imc2	0.20609756097560974	0.3	314
wavelet-HHL_glcm_InverseVariance	0.2451219512195122	0.25	652
wavelet-HHL_glcm_JointAverage	0.23780487804878048	0.4	551
wavelet-HHL_glcm_JointEnergy	0.4573170731707317	0.15	444
wavelet-HHL_glcm_JointEntropy	0.36341463414634145	0.25	661
wavelet-HHL_glcm_MaximumProbability	0.33170731707317075	0.2	472
wavelet-HHL_glcm_SumEntropy	0.26097560975609757	0.4	662
wavelet-HHL_glcm_SumSquares	0.19634146341463415	0.15	765
wavelet-HHL_gldm_DependenceEntropy	0.22073170731707317	0.25	677
wavelet-HHL_gldm_DependenceNonUniformity	0.3353658536585366	0.2	758
wavelet-HHL_gldm_DependenceNonUniformityNormalized	0.3048780487804878	0.35	680
wavelet-HHL_gldm_DependenceVariance	0.31585365853658537	0.2	385
wavelet-HHL_gldm_GrayLevelNonUniformity	0.3	0.4	278
wavelet-HHL_gldm_GrayLevelVariance	0.23536585365853657	0.25	759
wavelet-HHL_gldm_HighGrayLevelEmphasis	0.23170731707317074	0.3	634
wavelet-HHL_gldm_LargeDependenceEmphasis	0.3073170731707317	0.2	384
wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis	0.2329268292682927	0.2	364
wavelet-HHL_gldm_LargeDependenceLowGrayLevelEmphasis	0.20609756097560974	0.2	300
wavelet-HHL_gldm_LowGrayLevelEmphasis	0.18902439024390244	0.3	454
wavelet-HHL_gldm_SmallDependenceEmphasis	0.32926829268292684	0.25	589
wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis	0.22073170731707317	0.25	711
wavelet-HHL_gldm_SmallDependenceLowGrayLevelEmphasis	0.2280487804878049	0.35	506
wavelet-HHL_glrlm_GrayLevelNonUniformity	0.27195121951219514	0.35	321
wavelet-HHL_glrlm_GrayLevelNonUniformityNormalized	0.23780487804878048	0.35	579
wavelet-HHL_glrlm_GrayLevelVariance	0.2	0.3	756
wavelet-HHL_glrlm_HighGrayLevelRunEmphasis	0.25121951219512195	0.2	631
wavelet-HHL_glrlm_LongRunEmphasis	0.3097560975609756	0.2	415
wavelet-HHL_glrlm_LongRunHighGrayLevelEmphasis	0.2707317073170732	0.3	565
wavelet-HHL_glrlm_LongRunLowGrayLevelEmphasis	0.17317073170731706	0.3	420
wavelet-HHL_glrlm_LowGrayLevelRunEmphasis	0.22926829268292684	0.25	461
wavelet-HHL_glrlm_RunEntropy	0.2475609756097561	0.25	710
wavelet-HHL_glrlm_RunLengthNonUniformity	0.3121951219512195	0.45	432
wavelet-HHL_glrlm_RunLengthNonUniformityNormalized	0.33170731707317075	0.25	509
wavelet-HHL_glrlm_RunPercentage	0.2914634146341463	0.3	485
wavelet-HHL_glrlm_RunVariance	0.2804878048780488	0.25	404
wavelet-HHL_glrlm_ShortRunEmphasis	0.31585365853658537	0.25	467
wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis	0.18170731707317073	0.2	653
wavelet-HHL_glrlm_ShortRunLowGrayLevelEmphasis	0.22439024390243903	0.25	464
wavelet-HHL_glszm_GrayLevelNonUniformity	0.25853658536585367	0.15	444
wavelet-HHL_glszm_GrayLevelNonUniformityNormalized	0.22073170731707317	0.3	641
wavelet-HHL_glszm_GrayLevelVariance	0.21707317073170732	0.2	731
wavelet-HHL_glszm_HighGrayLevelZoneEmphasis	0.23658536585365852	0.15	632
wavelet-HHL_glszm_LargeAreaEmphasis	0.3573170731707317	0.2	259
wavelet-HHL_glszm_LargeAreaHighGrayLevelEmphasis	0.2780487804878049	0.05	309
